Month,"Steak, sirloin","Steak, round",Round roast,Chuck roast,All Uncooked Other Beef (Excluding Veal),All uncooked ground beef,All Uncooked Beef Roasts,All Uncooked Beef Steaks
2000-01,4.473,3.177,2.835,2.397,2.467,1.942,2.748,3.854
2000-02,4.486,3.244,2.968,2.432,2.457,1.946,2.821,3.868
2000-03,4.547,3.152,2.933,2.515,2.446,1.978,2.839,3.885
2000-04,4.646,3.222,2.954,2.489,2.473,2.005,2.867,3.95
2000-05,4.749,3.215,2.968,2.465,2.437,2.013,2.875,4.006
2000-06,4.779,3.261,2.949,2.526,2.443,2.008,2.902,4.09
2000-07,4.91,3.269,2.859,2.588,2.5,2.019,2.932,4.067
2000-08,4.947,3.288,2.925,2.506,2.522,2.045,2.896,4.099
2000-09,4.902,3.258,2.995,2.567,2.501,2.035,2.937,4.112
2000-10,4.78,3.218,2.95,2.562,2.47,2.025,2.917,4.044
2000-11,4.704,3.255,2.931,2.512,2.46,2.044,2.882,4.057
2000-12,4.811,3.278,3.025,2.515,2.506,2.062,2.925,4.088
2001-01,4.747,3.405,3.178,2.698,2.622,2.101,3.106,4.16
2001-02,4.985,3.518,3.223,2.795,2.618,2.159,3.161,4.295
2001-03,5.131,3.552,3.156,2.819,2.634,2.169,3.165,4.342
2001-04,5.323,3.504,3.256,2.809,2.627,2.193,3.191,4.429
2001-05,5.394,3.527,3.27,2.765,2.657,2.195,3.17,4.466
2001-06,5.577,3.531,3.183,2.673,2.673,2.21,3.141,4.505
2001-07,5.636,3.518,3.157,2.801,2.683,2.183,3.166,4.532
2001-08,5.456,3.393,3.233,2.817,2.7,2.21,3.191,4.411
2001-09,5.368,3.511,3.252,2.748,2.687,2.217,3.159,4.43
2001-10,5.206,3.501,3.184,2.836,2.649,2.236,3.149,4.421
2001-11,5.249,3.543,3.251,2.882,2.655,2.225,3.191,4.393
2001-12,5.192,3.464,3.18,2.78,2.647,2.22,3.125,4.349
2002-01,5.169,3.524,3.181,2.732,2.62,2.211,3.094,4.375
2002-02,5.121,3.555,3.21,2.812,2.623,2.251,3.167,4.354
2002-03,5.272,3.534,3.23,2.725,2.616,2.256,3.154,4.423
2002-04,5.244,3.434,3.269,2.859,2.626,2.252,3.214,4.421
2002-05,5.288,3.502,3.192,2.799,2.615,2.316,3.226,4.5
2002-06,5.434,3.309,3.252,2.773,2.568,2.287,3.138,4.414
2002-07,5.335,3.455,3.157,2.632,2.54,2.3,3.073,4.423
2002-08,5.402,3.604,3.171,2.69,2.563,2.326,3.097,4.424
2002-09,5.259,3.483,3.202,2.655,2.559,2.3,3.116,4.42
2002-10,5.377,3.367,3.047,2.719,2.54,2.351,3.11,4.358
2002-11,5.225,3.697,3.171,2.713,2.448,2.3,3.075,4.405
2002-12,5.452,3.552,3.198,2.806,2.443,2.314,3.175,4.378
2003-01,5.424,3.72,3.362,2.796,2.452,2.315,3.226,4.416
2003-02,5.418,3.879,3.259,2.844,2.491,2.378,3.216,4.613
2003-03,5.454,3.8,3.273,2.943,2.549,2.392,3.306,4.621
2003-04,5.627,3.737,3.402,3.045,2.523,2.423,3.376,4.595
2003-05,5.473,3.712,3.371,3.014,2.644,2.368,3.365,4.512
2003-06,5.862,3.773,3.248,2.962,2.706,2.389,3.319,4.736
2003-07,6.016,3.605,3.331,3.01,2.728,2.399,3.398,4.751
2003-08,5.956,3.641,3.231,3.019,2.689,2.434,3.426,4.744
2003-09,5.946,3.74,3.229,2.898,2.71,2.465,3.413,4.876
2003-10,6.14,3.864,3.516,3.222,2.835,2.494,3.59,5.067
2003-11,7.083,4.279,3.858,3.453,3.01,2.66,3.979,5.506
2003-12,6.925,4.271,3.855,3.359,3.05,2.708,3.994,5.573
2004-01,6.343,4.038,3.637,3.378,2.985,2.702,3.878,5.319
2004-02,6.337,4.172,3.752,3.334,2.921,2.692,3.896,5.326
2004-03,6.414,4.022,3.719,3.177,2.868,2.65,3.743,5.271
2004-04,6.614,4.055,3.672,3.229,2.875,2.646,3.711,5.366
2004-05,6.96,4.165,3.647,3.216,2.844,2.641,3.74,5.455
2004-06,7.376,4.115,3.759,3.329,2.849,2.658,3.797,5.575
2004-07,7.352,4.17,3.759,3.264,2.819,2.653,3.844,5.562
2004-08,6.873,4.108,3.693,3.34,2.832,2.693,3.772,5.456
2004-09,6.858,4.103,3.84,3.263,2.822,2.698,3.78,5.329
2004-10,6.139,4.145,3.77,3.272,2.789,2.702,3.792,5.246
2004-11,6.114,4.253,3.836,3.296,2.81,2.72,3.832,5.235
2004-12,6.085,4.261,3.853,3.368,2.746,2.705,3.84,5.184
2005-01,6.064,4.241,3.894,3.254,2.775,2.712,3.784,5.168
2005-02,5.993,4.401,4.056,3.425,2.856,2.754,3.908,5.258
2005-03,6.36,4.267,4.081,3.519,2.809,2.759,3.951,5.292
2005-04,6.513,4.177,3.904,3.252,2.79,2.775,3.799,5.39
2005-05,6.739,4.113,3.837,3.297,2.856,2.752,3.809,5.398
2005-06,6.351,4.149,3.807,3.295,2.836,2.735,3.783,5.272
2005-07,5.889,3.901,3.682,3.259,2.795,2.719,3.67,5.059
2005-08,5.807,3.995,3.629,3.134,2.742,2.715,3.619,4.987
2005-09,5.953,3.801,3.439,3.159,2.714,2.731,3.6,4.9
2005-10,5.937,4.056,3.4,3.189,2.708,2.726,3.535,4.989
2005-11,5.739,3.935,3.66,3.243,2.714,2.729,3.684,4.934
2005-12,5.934,4.115,3.7,3.374,2.728,2.732,3.734,5.026
2006-01,5.969,4.089,3.606,3.17,2.812,2.742,3.681,5.06
2006-02,5.934,4.11,3.655,3.295,2.903,2.701,3.742,5.076
2006-03,6.113,4.014,3.659,3.219,2.929,2.749,3.699,5.106
2006-04,5.991,3.995,3.564,3.287,2.922,2.735,3.645,5.085
2006-05,6.048,3.89,3.494,3.08,2.829,2.714,3.58,5.03
2006-06,6.168,3.927,3.521,3.078,2.78,2.709,3.603,5.021
2006-07,6.065,3.846,3.525,3.064,2.71,2.66,3.585,5.005
2006-08,6.182,3.934,3.556,3.051,2.769,2.698,3.602,5.104
2006-09,5.901,3.976,3.552,3.101,2.824,2.713,3.599,5.055
2006-10,5.796,4.121,3.555,3.169,2.868,2.71,3.674,5.091
2006-11,5.766,4.106,3.598,3.299,2.962,2.727,3.679,5.094
2006-12,5.791,3.987,3.586,3.209,2.954,2.74,3.602,5.082
2007-01,5.786,4.055,3.8,3.066,2.98,2.73,3.647,5.112
2007-02,5.83,4.16,3.94,3.343,2.967,2.776,3.779,5.129
2007-03,6.017,4.213,3.897,3.357,2.99,2.809,3.727,5.291
2007-04,5.982,4.126,3.921,3.419,2.952,2.824,3.895,5.411
2007-05,6.402,4.134,3.873,3.483,2.979,2.869,3.828,5.413
2007-06,6.162,4.124,3.753,3.395,3.03,2.855,3.802,5.314
2007-07,5.745,4.244,3.775,3.337,3.053,2.843,3.76,5.269
2007-08,6.05,4.09,3.828,3.332,3.072,2.868,3.795,5.252
2007-09,6.131,4.151,3.802,3.506,3.068,2.896,3.83,5.341
2007-10,5.74,4.044,3.593,3.486,3.041,2.893,3.693,5.254
2007-11,5.906,3.935,3.764,3.426,2.946,2.912,3.797,5.345
2007-12,5.907,4.043,3.721,3.395,2.931,2.871,3.766,5.287
2008-01,5.818,3.984,3.711,3.371,2.989,2.902,3.76,5.291
2008-02,5.905,4.123,3.854,3.333,3.006,2.946,3.794,5.276
2008-03,5.947,4.071,3.858,3.497,3.076,2.966,3.873,5.333
2008-04,5.699,4.088,3.763,3.252,3.02,2.953,3.73,5.283
2008-05,5.999,4.178,3.841,3.355,3.108,2.964,3.825,5.359
2008-06,5.928,4.278,3.848,3.406,3.104,3.008,3.891,5.408
2008-07,5.95,4.229,4.071,3.498,3.123,2.987,3.988,5.507
2008-08,6.399,4.439,4.206,3.647,3.22,3.098,4.043,5.589
2008-09,6.213,4.423,4.119,3.768,3.206,3.128,4.101,5.528
2008-10,6.119,4.431,4.158,3.9,3.261,3.167,4.154,5.532
2008-11,5.858,4.241,4.077,3.792,3.293,3.172,4.074,5.398
2008-12,6.065,4.369,4.058,3.608,3.188,3.193,4.007,5.377
2009-01,5.739,4.203,4.098,3.724,3.201,3.157,4.051,5.219
2009-02,5.675,4.261,4.153,3.756,3.094,3.185,4.112,5.304
2009-03,5.769,4.148,3.953,3.706,3.068,3.139,3.955,5.279
2009-04,5.846,4.103,3.971,3.618,3.085,3.133,3.92,5.293
2009-05,6.194,3.965,3.967,3.723,3.112,3.114,3.903,5.421
2009-06,6.181,4.118,4.046,3.473,3.098,3.128,3.912,5.417
2009-07,5.853,4.012,3.881,3.529,3.068,3.028,3.864,5.289
2009-08,5.905,4.164,3.83,3.574,3.023,3.101,3.871,5.359
2009-09,5.86,4.025,3.904,3.562,3.002,3.05,3.941,5.276
2009-10,5.56,4.093,3.873,3.673,3.086,3.05,3.931,5.216
2009-11,5.748,4.376,4.162,4.023,3.061,3.057,4.13,5.397
2009-12,5.676,4.176,4.079,3.92,3.061,3.071,4.006,5.367
2010-01,5.312,4.084,4.06,3.751,3.016,3.065,3.99,5.273
2010-02,5.415,4.075,3.933,3.832,3.034,3.113,4.014,5.193
2010-03,5.627,4.271,4.11,3.841,3.119,3.099,4.073,5.286
2010-04,6.056,4.359,3.988,3.853,3.233,3.15,4.044,5.551
2010-05,6.136,4.266,4.1,3.719,3.289,3.16,4.071,5.619
2010-06,5.997,4.429,4.054,3.844,3.335,3.227,4.039,5.63
2010-07,5.662,4.303,4.069,3.915,3.274,3.225,4.084,5.544
2010-08,5.672,4.195,4.028,3.783,3.279,3.234,4.054,5.475
2010-09,5.821,4.315,4.114,4.036,3.302,3.187,4.136,5.532
2010-10,6.004,4.411,4.182,3.874,3.305,3.266,4.121,5.631
2010-11,6.145,4.339,4.276,3.911,3.465,3.211,4.197,5.667
2010-12,6.071,4.295,4.076,3.863,3.512,3.195,4.153,5.604
2011-01,6.268,4.379,4.166,3.889,3.458,3.277,4.241,5.693
2011-02,6.248,4.549,4.347,3.992,3.54,3.32,4.337,5.728
2011-03,6.463,4.459,4.378,4.124,3.601,3.443,4.444,5.796
2011-04,6.325,4.711,4.42,4.164,3.803,3.427,4.443,5.98
2011-05,6.191,4.666,4.407,4.275,3.821,3.501,4.46,5.964
2011-06,5.891,4.554,4.429,4.306,3.865,3.497,4.439,5.833
2011-07,6.041,4.558,4.472,4.264,3.821,3.528,4.551,5.844
2011-08,6.3,4.682,4.324,4.263,3.694,3.482,4.487,5.948
2011-09,6.282,4.691,4.505,4.306,3.758,3.444,4.524,6.022
2011-10,6.32,4.719,4.414,4.3,3.761,3.505,4.518,6.048
2011-11,6.21,4.6,4.451,4.468,3.793,3.496,4.628,6.011
2011-12,6.162,4.723,4.558,4.579,3.769,3.547,4.674,6.044
2012-01,6.401,4.843,4.673,4.559,3.874,3.6,4.694,6.124
2012-02,6.405,4.78,4.7,4.513,3.76,3.621,4.676,6.033
2012-03,6.531,4.813,4.688,4.445,3.793,3.664,4.665,6.079
2012-04,6.519,4.901,4.743,4.354,3.712,3.663,4.68,6.208
2012-05,6.42,4.867,4.676,4.352,3.807,3.693,4.725,6.295
2012-06,6.817,4.801,4.707,4.188,3.904,3.715,4.697,6.378
2012-07,6.904,4.843,4.872,4.301,3.847,3.747,4.671,6.328
2012-08,6.718,4.81,4.85,4.197,3.846,3.766,4.661,6.262
2012-09,6.771,4.728,4.674,4.197,3.789,3.754,4.594,6.315
2012-10,6.749,4.669,4.818,4.505,3.855,3.759,4.782,6.295
2012-11,6.799,4.77,4.754,4.567,3.825,3.802,4.76,6.31
2012-12,6.781,4.701,4.7,4.542,3.947,3.82,4.741,6.301
2013-01,6.975,4.983,4.825,4.537,3.942,3.841,4.681,6.408
2013-02,7.078,4.899,4.635,4.57,3.932,3.814,4.716,6.363
2013-03,6.928,4.961,4.605,4.747,3.891,3.839,4.748,6.267
2013-04,6.864,4.818,4.551,4.633,3.92,3.823,4.689,6.232
2013-05,6.791,4.804,4.601,4.475,4.079,3.75,4.707,6.369
2013-06,6.827,4.853,4.612,4.554,4.128,3.757,4.796,6.422
2013-07,6.68,4.856,4.674,4.521,4.096,3.79,4.866,6.425
2013-08,6.604,4.955,4.748,4.657,4.057,3.829,4.876,6.34
2013-09,6.808,4.874,4.661,4.542,3.967,3.823,4.833,6.399
2013-10,6.82,4.709,4.661,4.619,3.934,3.823,4.821,6.363
2013-11,6.803,4.822,4.609,4.739,4.132,3.887,4.887,6.326
2013-12,6.776,5.006,4.63,4.716,4.168,3.895,4.905,6.344
2014-01,6.773,5.033,4.641,4.534,4.205,3.897,4.827,6.339
2014-02,6.966,5.284,5.046,4.94,4.278,4.038,5.221,6.556
2014-03,7.046,5.295,4.983,4.944,4.337,4.134,5.231,6.726
2014-04,7.356,5.522,5.16,5.073,4.433,4.226,5.374,6.974
2014-05,7.588,5.629,5.166,5.014,4.438,4.213,5.339,6.941
2014-06,7.689,5.495,5.004,5.1,4.245,4.237,5.299,6.974
2014-07,7.87,5.577,5.187,5.133,4.337,4.224,5.366,7.001
2014-08,8.25,5.826,5.505,5.472,4.471,4.357,5.711,7.363
2014-09,8.233,6.026,5.584,5.519,4.612,4.504,5.738,7.397
2014-10,8.103,6.068,5.552,5.443,4.699,4.565,5.686,7.404
2014-11,8.277,6.157,5.623,5.526,4.679,4.593,5.776,7.473
2014-12,8.147,6.261,5.661,5.682,4.757,4.598,5.854,7.541
2015-01,8.08,6.052,5.62,5.624,4.734,4.675,5.838,7.53
2015-02,8.194,6.18,5.657,5.546,4.684,4.708,5.844,7.569
2015-03,8.372,6.209,5.736,5.563,4.709,4.677,5.872,7.661
2015-04,8.329,6.157,5.644,5.659,4.702,4.681,5.864,7.684
2015-05,8.816,6.185,5.653,5.7,4.59,4.653,5.915,7.773
2015-06,8.842,6.183,5.638,5.704,4.696,4.676,5.927,7.917
2015-07,8.837,6.243,5.685,5.677,4.738,4.637,5.905,7.962
2015-08,8.697,6.147,5.688,5.639,4.7,4.618,5.871,7.91
2015-09,8.864,6.184,5.601,5.513,4.684,4.604,5.785,7.89
2015-10,8.802,6.209,5.523,5.546,4.648,4.572,5.762,7.836
2015-11,8.724,6.081,5.445,5.649,4.541,4.551,5.718,7.788
2015-12,8.287,5.932,5.279,5.414,4.505,4.485,5.482,7.509
2016-01,8.144,5.856,5.225,5.177,4.437,4.396,5.421,7.468
2016-02,8.275,6.002,5.295,5.346,4.539,4.379,5.526,7.502
2016-03,8.514,5.968,5.47,5.321,4.503,4.371,5.662,7.686
2016-04,8.502,6.026,5.406,5.194,4.53,4.327,5.576,7.756
2016-05,8.678,6.07,5.534,5.381,4.451,4.298,5.687,7.759
2016-06,8.69,6.134,5.443,5.323,4.517,4.263,5.601,7.681
2016-07,8.521,5.76,5.274,5.211,4.521,4.234,5.504,7.546
2016-08,8.544,5.758,5.133,5.124,4.508,4.25,5.451,7.569
2016-09,8.585,6.067,5.016,5.163,4.503,4.22,5.315,7.51
2016-10,8.323,5.807,4.82,5.129,4.497,4.158,5.277,7.413
2016-11,7.943,5.758,4.987,5.187,4.451,4.091,5.301,7.217
2016-12,7.91,5.556,4.884,5.104,4.517,4.043,5.159,7.121
2017-01,7.79,5.733,4.934,4.962,4.447,4.057,5.138,7.094
2017-02,7.848,5.754,5.088,5.186,4.472,4.029,5.208,7.154
2017-03,7.856,5.728,5.152,5.141,4.406,4.067,5.264,7.176
2017-04,8.081,5.577,5.124,5.126,4.497,4.078,5.315,7.277
2017-05,8.082,5.758,5.202,5.145,4.567,4.078,5.354,7.315
2017-06,8.349,5.838,5.29,5.342,4.716,4.16,5.498,7.525
2017-07,8.359,5.939,5.326,5.228,4.733,4.212,5.453,7.606
2017-08,8.251,5.838,5.182,5.189,4.782,4.207,5.349,7.479
2017-09,8.084,5.882,5.168,5.098,4.672,4.207,5.329,7.363
2017-10,8.039,5.778,4.916,5.124,4.549,4.1,5.156,7.388
2017-11,7.906,5.798,4.934,5.09,4.622,4.102,5.163,7.352
2017-12,7.927,5.832,5.02,5.12,4.653,4.128,5.207,7.364
2018-01,8.205,5.608,4.925,4.792,4.431,4.068,5.109,7.415
2018-02,8.297,5.619,4.99,4.996,4.483,4.07,5.184,7.392
2018-03,8.339,5.512,5.107,5.026,4.524,4.099,5.259,7.507
2018-04,8.551,5.785,5.192,5.168,4.451,4.155,5.378,7.703
2018-05,8.247,5.649,5.179,5.234,4.579,4.079,5.369,7.64
2018-06,8.509,5.8,5.205,5.301,4.8,4.115,5.481,7.673
2018-07,8.552,5.694,5.163,5.458,4.764,4.149,5.508,7.725
2018-08,8.561,5.807,5.152,5.399,4.789,4.155,5.506,7.724
2018-09,8.544,5.839,4.995,5.332,4.745,4.12,5.386,7.678
2018-10,8.331,5.791,4.875,5.173,4.78,4.091,5.203,7.595
2018-11,8.375,5.681,4.806,5.222,4.835,4.166,5.17,7.572
2018-12,8.311,5.687,4.791,5.122,4.73,4.139,5.202,7.579
2019-01,8.348,5.601,5.011,5.139,4.778,4.173,5.283,7.598
2019-02,8.529,5.722,4.968,5.145,4.797,4.169,5.319,7.597
2019-03,8.575,5.839,5.16,5.467,4.875,4.138,5.439,7.74
2019-04,8.706,5.856,5.26,5.246,4.931,4.198,5.445,7.755
2019-05,8.662,5.892,5.374,5.476,4.905,4.277,5.521,7.798
2019-06,8.133,5.882,5.401,5.517,4.976,4.231,5.627,7.679
2019-07,8.284,5.977,5.458,5.479,4.998,4.258,5.609,7.716
2019-08,8.134,5.834,5.305,5.279,5.0,4.249,5.471,7.652
2019-09,8.083,5.858,5.222,5.294,5.018,4.209,5.43,7.658
2019-10,8.225,5.774,4.988,5.131,4.941,4.262,5.277,7.667
2019-11,8.318,5.793,5.211,5.404,5.032,4.241,5.376,7.535
2019-12,8.481,5.977,5.069,5.646,5.053,4.3,5.537,7.709
2020-01,8.441,5.963,5.062,5.398,5.046,4.343,5.515,7.653
2020-02,8.333,6.091,5.26,5.368,5.148,4.298,5.532,7.642
2020-03,8.265,6.091,5.175,5.382,5.079,4.355,5.535,7.676
2020-04,8.6,6.41,5.528,5.786,5.385,4.556,5.896,7.951
2020-05,9.48,7.301,6.906,7.049,5.691,4.931,7.068,8.957
2020-06,10.423,7.394,6.546,7.165,6.071,5.291,7.057,9.518
2020-07,9.413,6.95,5.884,6.476,5.672,4.84,6.461,8.698
2020-08,8.875,6.579,5.668,5.972,5.448,4.64,6.059,8.213
2020-09,8.795,6.447,5.76,5.849,5.442,4.547,6.035,8.133
2020-10,8.931,6.383,5.614,5.749,5.375,4.552,5.841,8.154
2020-11,8.876,6.449,5.522,5.96,5.482,4.596,5.883,8.081
2020-12,8.98,6.339,5.302,6.008,5.552,4.555,5.868,8.085
2021-01,9.148,6.522,5.475,5.811,5.632,4.543,5.861,8.25
2021-02,9.079,6.443,5.582,5.991,5.664,4.556,6.063,8.281
2021-03,9.134,6.412,5.625,6.088,5.57,4.648,6.229,8.383
2021-04,9.344,6.64,5.771,5.949,5.703,4.656,6.216,8.656
2021-05,9.892,6.737,5.822,6.381,5.954,4.703,6.512,9.12
2021-06,10.78,7.297,6.209,6.635,6.317,4.869,6.824,9.747
2021-07,10.538,7.183,6.1,6.7,6.37,4.846,6.749,9.67
2021-08,10.599,7.112,6.004,6.8,6.38,4.964,6.727,9.652
2021-09,11.01,7.282,6.276,7.457,6.64,5.051,7.133,9.912
2021-10,11.654,7.304,6.33,7.397,6.751,5.237,7.127,10.209
2021-11,11.508,7.404,6.426,7.272,7.011,5.261,7.161,10.228
2021-12,11.055,7.342,6.234,6.922,7.011,5.174,6.948,9.933
2022-01,10.826,7.378,6.158,6.83,6.771,5.17,6.845,9.825
2022-02,10.584,7.489,6.318,6.83,6.949,5.199,6.898,9.753
